分类一	分类二	分类三	分类四	词类名	同义词	
针对性同义词*	重点词*	相关名词		web浏览器		a
针对性同义词*	重点词*	相关名词			web浏览器	a
针对性同义词*	重点词*	相关名词			web browser	a
针对性同义词*	重点词*	相关名词			网络浏览器	a
针对性同义词*	重点词*	相关名词			网页浏览器	a
针对性同义词*	重点词*	相关名词			webbrowser	a
针对性同义词*	重点词*	相关名词		美图秀秀		a
针对性同义词*	重点词*	相关名词			毁图秀秀	a
针对性同义词*	重点词*	相关名词			美图	a
针对性同义词*	重点词*	相关名词		高德		a
针对性同义词*	重点词*	相关名词			高得	a
针对性同义词*	重点词*	相关名词			高德	a
针对性同义词*	重点词*	相关名词		讯飞输入法		a
针对性同义词*	重点词*	相关名词		易信		a
针对性同义词*	重点词*	相关名词		腾讯新闻		a
针对性同义词*	重点词*	相关名词			腾讯新闻	a
针对性同义词*	重点词*	相关名词		移动mm商场		a
针对性同义词*	重点词*	相关名词			mm	a
针对性同义词*	重点词*	相关名词			mm商店	a
针对性同义词*	重点词*	相关名词			移动mm商城	a
针对性同义词*	重点词*	相关名词			移动mm	a
针对性同义词*	重点词*	相关名词			移动mm商场	a
针对性同义词*	重点词*	相关名词			mm商场	a
针对性同义词*	重点词*	相关名词		家庭影院		a
针对性同义词*	重点词*	相关名词			音响	a
针对性同义词*	重点词*	相关名词			家庭影院	a
针对性同义词*	重点词*	相关名词			有源音箱	a
针对性同义词*	重点词*	相关名词			底座音箱	a
针对性同义词*	重点词*	相关名词			ht-e453k	a
针对性同义词*	重点词*	其他重点词*		豌豆荚		a
针对性同义词*	重点词*	其他重点词*		百度云		a
针对性同义词*	重点词*	其他重点词*			百度云	a
针对性同义词*	重点词*	其他重点词*		百视通		a
针对性同义词*	重点词*	其他重点词*			百视通	a
针对性同义词*	重点词*	其他重点词*			百视通网络电视	a
针对性同义词*	重点词*	其他重点词*			百视通在线视频	a
针对性同义词*	重点词*	其他重点词*			百事通	a
通用同义词	常用词	名词%n		解码		a
通用同义词	常用词	名词%n			解码	a
通用同义词	常用词	名词%n			硬解码	a
通用同义词	常用词	名词%n			软解码	a
通用同义词	常用词	名词%n		白平衡		f
通用同义词	常用词	名词%n			白平衡	f
针对性同义词*	重点词*	相关名词		icntv		a
针对性同义词*	重点词*	相关名词			icntv	a
针对性同义词*	重点词*	相关名词		samsung link		a
针对性同义词*	重点词*	相关名词			三星共享	a
针对性同义词*	重点词*	相关名词			智能共享	a
针对性同义词*	重点词*	相关名词			三星智能共享	a
针对性同义词*	重点词*	相关名词			ssamsung link	a
针对性同义词*	重点词*	相关名词			samsunglink	a
针对性同义词*	重点词*	相关名词			sumsung link	a
针对性同义词*	重点词*	相关名词			samsung link	a
针对性同义词*	重点词*	相关名词		秒表		a
针对性同义词*	重点词*	相关名词			秒表	a
针对性同义词*	重点词*	功能		功能		a
针对性同义词*	重点词*	功能			热点	a
针对性同义词*	重点词*	功能			设备列表	a
针对性同义词*	重点词*	功能			蓝牙	a
针对性同义词*	重点词*	功能			接听来电	a
针对性同义词*	重点词*	功能			拍照	a
针对性同义词*	重点词*	功能			指纹支付	a
针对性同义词*	重点词*	功能			指纹列表	a
针对性同义词*	重点词*	功能			解锁屏幕	a
